stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening W:\GPS Year 2\AIprogramming\Labs\AI BREADTH FIRST\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.02657] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.02660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02663] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02666] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02669] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02671] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02674] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02677] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02680] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02683] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02688] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02692] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02694] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02697] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02700] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.02703] Single Buffer requirement not met.
